test_fold,calibration_fold,model,test_eer,test_roc_auc,test_fmr,test_fnmr,test_accuracy,false_accepts,false_rejects
1,2,pca_distance,0.3233333333333333,0.7289666666666667,0.023333333333333334,0.92,0.5283333333333333,7,276
1,2,logistic_regression,0.3433333333333333,0.7146666666666668,0.006666666666666667,0.9166666666666666,0.5383333333333333,2,275
1,2,linear_svm,0.3466666666666667,0.7121999999999999,0.006666666666666667,0.9066666666666666,0.5433333333333333,2,272
1,2,rbf_svm,0.3433333333333333,0.71,0.006666666666666667,0.91,0.5416666666666666,2,273
2,3,pca_distance,0.41,0.6376999999999999,0.0033333333333333335,0.9566666666666667,0.52,1,287
2,3,logistic_regression,0.43666666666666665,0.5934444444444444,0.006666666666666667,0.9466666666666667,0.5233333333333333,2,284
2,3,linear_svm,0.44,0.5917444444444444,0.006666666666666667,0.9466666666666667,0.5233333333333333,2,284
2,3,rbf_svm,0.43666666666666665,0.5919666666666668,0.006666666666666667,0.94,0.5266666666666666,2,282
3,4,pca_distance,0.4,0.6397666666666667,0.02,0.9266666666666666,0.5266666666666666,6,278
3,4,logistic_regression,0.4166666666666667,0.6350777777777777,0.03,0.8833333333333333,0.5433333333333333,9,265
3,4,linear_svm,0.42,0.6321333333333334,0.03,0.89,0.54,9,267
3,4,rbf_svm,0.4166666666666667,0.6285888888888889,0.02666666666666667,0.89,0.5416666666666666,8,267
4,5,pca_distance,0.3566666666666667,0.7039777777777777,0.0033333333333333335,0.92,0.5383333333333333,1,276
4,5,logistic_regression,0.36,0.6993111111111111,0.006666666666666667,0.89,0.5516666666666666,2,267
4,5,linear_svm,0.36,0.6971777777777778,0.006666666666666667,0.8833333333333333,0.555,2,265
4,5,rbf_svm,0.36,0.6941333333333333,0.006666666666666667,0.88,0.5566666666666666,2,264
5,6,pca_distance,0.36333333333333334,0.6800777777777778,0.01,0.9433333333333334,0.5233333333333333,3,283
5,6,logistic_regression,0.38,0.6739666666666666,0.013333333333333334,0.9066666666666666,0.54,4,272
5,6,linear_svm,0.38,0.6719888888888887,0.013333333333333334,0.9066666666666666,0.54,4,272
5,6,rbf_svm,0.38,0.6702888888888888,0.016666666666666666,0.9066666666666666,0.5383333333333333,5,272
6,7,pca_distance,0.37333333333333335,0.6904777777777777,0.013333333333333334,0.9366666666666666,0.525,4,281
6,7,logistic_regression,0.36666666666666664,0.6827777777777778,0.0,0.9433333333333334,0.5283333333333333,0,283
6,7,linear_svm,0.37,0.6807888888888889,0.0,0.95,0.525,0,285
6,7,rbf_svm,0.37,0.6797666666666666,0.0,0.9466666666666667,0.5266666666666666,0,284
7,8,pca_distance,0.4,0.6412111111111112,0.006666666666666667,0.9333333333333333,0.53,2,280
7,8,logistic_regression,0.38,0.682511111111111,0.006666666666666667,0.9433333333333334,0.525,2,283
7,8,linear_svm,0.38333333333333336,0.6798444444444445,0.006666666666666667,0.9466666666666667,0.5233333333333333,2,284
7,8,rbf_svm,0.38,0.6767555555555556,0.01,0.95,0.52,3,285
8,9,pca_distance,0.38333333333333336,0.6670444444444444,0.01,0.9566666666666667,0.5166666666666667,3,287
8,9,logistic_regression,0.39666666666666667,0.6472222222222223,0.013333333333333334,0.9433333333333334,0.5216666666666666,4,283
8,9,linear_svm,0.39666666666666667,0.6448555555555555,0.013333333333333334,0.9433333333333334,0.5216666666666666,4,283
8,9,rbf_svm,0.39666666666666667,0.6416444444444445,0.013333333333333334,0.94,0.5233333333333333,4,282
9,10,pca_distance,0.36666666666666664,0.6784333333333332,0.02,0.8766666666666667,0.5516666666666666,6,263
9,10,logistic_regression,0.31666666666666665,0.7188888888888888,0.013333333333333334,0.8633333333333333,0.5616666666666666,4,259
9,10,linear_svm,0.32,0.7177,0.013333333333333334,0.8733333333333333,0.5566666666666666,4,262
9,10,rbf_svm,0.33,0.7153222222222222,0.016666666666666666,0.8666666666666667,0.5583333333333333,5,260
10,1,pca_distance,0.36,0.6734111111111111,0.01,0.91,0.54,3,273
10,1,logistic_regression,0.35333333333333333,0.7091888888888889,0.03,0.8566666666666667,0.5566666666666666,9,257
10,1,linear_svm,0.36,0.7080222222222222,0.023333333333333334,0.8633333333333333,0.5566666666666666,7,259
10,1,rbf_svm,0.36,0.7055,0.02,0.8766666666666667,0.5516666666666666,6,263
