test_fold,calibration_fold,train_unique_image_count,pca_explained_variance,test_eer,test_roc_auc,test_fmr,test_fnmr,test_accuracy,false_accepts,false_rejects
1,2,6118,0.9003638618821539,0.3233333333333333,0.7289666666666667,0.023333333333333334,0.92,0.5283333333333333,7,276
2,3,6188,0.9008095025852735,0.41,0.6376999999999999,0.0033333333333333335,0.9566666666666667,0.52,1,287
3,4,6210,0.9005462148896911,0.4,0.6397666666666667,0.02,0.9266666666666666,0.5266666666666666,6,278
4,5,6210,0.900648070666833,0.3566666666666667,0.7039777777777777,0.0033333333333333335,0.92,0.5383333333333333,1,276
5,6,6221,0.9008215000249903,0.36333333333333334,0.6800777777777778,0.01,0.9433333333333334,0.5233333333333333,3,283
6,7,6145,0.9005933617015373,0.37333333333333335,0.6904777777777777,0.013333333333333334,0.9366666666666666,0.525,4,281
7,8,6103,0.9007872978346128,0.4,0.6412111111111112,0.006666666666666667,0.9333333333333333,0.53,2,280
8,9,6152,0.9005381090960464,0.38333333333333336,0.6670444444444444,0.01,0.9566666666666667,0.5166666666666667,3,287
9,10,6152,0.9000807307770676,0.36666666666666664,0.6784333333333332,0.02,0.8766666666666667,0.5516666666666666,6,263
10,1,6109,0.8999733110264901,0.36,0.6734111111111111,0.01,0.91,0.54,3,273
