config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
logistic_regression__c_1e-05,logistic_regression,1e-05,,1,0.12046783625730995,0.10666666666666667,0.9655901234567901,0.008888888888888889,0.3244444444444444
logistic_regression__c_3e-05,logistic_regression,3e-05,,1,0.12046783625730995,0.10666666666666667,0.9658271604938271,0.0044444444444444444,0.3244444444444444
logistic_regression__c_0.0001,logistic_regression,0.0001,,1,0.11812865497076024,0.10222222222222223,0.9665382716049382,0.008888888888888889,0.3111111111111111
logistic_regression__c_0.0003,logistic_regression,0.0003,,1,0.11578947368421053,0.10222222222222223,0.9679209876543209,0.008888888888888889,0.28444444444444444
logistic_regression__c_0.001,logistic_regression,0.001,,1,0.10292397660818714,0.10666666666666667,0.9700740740740741,0.008888888888888889,0.27555555555555555
logistic_regression__c_0.003,logistic_regression,0.003,,1,0.09590643274853801,0.1111111111111111,0.9712395061728395,0.008888888888888889,0.28
linear_svm__c_1e-05,linear_svm,1e-05,,1,0.12046783625730995,0.10666666666666667,0.9654518518518518,0.008888888888888889,0.3244444444444444
linear_svm__c_3e-05,linear_svm,3e-05,,1,0.12046783625730995,0.10666666666666667,0.9654518518518518,0.008888888888888889,0.3244444444444444
linear_svm__c_0.0001,linear_svm,0.0001,,1,0.1216374269005848,0.10666666666666667,0.9653728395061729,0.008888888888888889,0.3244444444444444
linear_svm__c_0.0003,linear_svm,0.0003,,1,0.11578947368421053,0.09777777777777778,0.9673283950617284,0.008888888888888889,0.25333333333333335
linear_svm__c_0.001,linear_svm,0.001,,1,0.10175438596491228,0.11555555555555555,0.9690864197530864,0.008888888888888889,0.27111111111111114
linear_svm__c_0.003,linear_svm,0.003,,1,0.09005847953216374,0.1111111111111111,0.9697975308641975,0.008888888888888889,0.25333333333333335
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_1e-05__gamma_0.003,rbf_svm,1e-05,0.003,1,0.11929824561403508,0.10222222222222223,0.9674074074074074,0.008888888888888889,0.32
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_1e-05__gamma_0.03,rbf_svm,1e-05,0.03,1,0.11929824561403508,0.10222222222222223,0.9664987654320988,0.008888888888888889,0.29333333333333333
rbf_svm__c_1e-05__gamma_0.1,rbf_svm,1e-05,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_3e-05__gamma_0.001,rbf_svm,3e-05,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_3e-05__gamma_0.003,rbf_svm,3e-05,0.003,1,0.11929824561403508,0.10222222222222223,0.9674074074074074,0.008888888888888889,0.32
rbf_svm__c_3e-05__gamma_0.01,rbf_svm,3e-05,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_3e-05__gamma_0.03,rbf_svm,3e-05,0.03,1,0.11929824561403508,0.10222222222222223,0.9664987654320988,0.008888888888888889,0.29333333333333333
rbf_svm__c_3e-05__gamma_0.1,rbf_svm,3e-05,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.0001__gamma_0.001,rbf_svm,0.0001,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_0.0001__gamma_0.003,rbf_svm,0.0001,0.003,1,0.11929824561403508,0.10222222222222223,0.9674074074074074,0.008888888888888889,0.32
rbf_svm__c_0.0001__gamma_0.01,rbf_svm,0.0001,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.0001__gamma_0.03,rbf_svm,0.0001,0.03,1,0.11929824561403508,0.10222222222222223,0.9664987654320988,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.0001__gamma_0.1,rbf_svm,0.0001,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.0003__gamma_0.001,rbf_svm,0.0003,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_0.0003__gamma_0.003,rbf_svm,0.0003,0.003,1,0.11929824561403508,0.10222222222222223,0.9674074074074074,0.008888888888888889,0.32
rbf_svm__c_0.0003__gamma_0.01,rbf_svm,0.0003,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.0003__gamma_0.03,rbf_svm,0.0003,0.03,1,0.11929824561403508,0.10222222222222223,0.9664987654320988,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.0003__gamma_0.1,rbf_svm,0.0003,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.001__gamma_0.001,rbf_svm,0.001,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_0.001__gamma_0.003,rbf_svm,0.001,0.003,1,0.11929824561403508,0.10222222222222223,0.9674074074074074,0.008888888888888889,0.32
rbf_svm__c_0.001__gamma_0.01,rbf_svm,0.001,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.001__gamma_0.03,rbf_svm,0.001,0.03,1,0.11929824561403508,0.10222222222222223,0.9664987654320988,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.001__gamma_0.1,rbf_svm,0.001,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.003__gamma_0.001,rbf_svm,0.003,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_0.003__gamma_0.003,rbf_svm,0.003,0.003,1,0.11929824561403508,0.10222222222222223,0.9674074074074074,0.008888888888888889,0.32
