config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
logistic_regression__c_0.001,logistic_regression,0.001,,1,0.10292397660818714,0.10666666666666667,0.9700740740740741,0.008888888888888889,0.27555555555555555
logistic_regression__c_0.01,logistic_regression,0.01,,1,0.07953216374269007,0.1111111111111111,0.9699950617283952,0.0044444444444444444,0.28444444444444444
logistic_regression__c_0.1,logistic_regression,0.1,,1,0.06666666666666667,0.11555555555555555,0.9672493827160493,0.008888888888888889,0.29333333333333333
logistic_regression__c_1,logistic_regression,1.0,,1,0.06315789473684211,0.12,0.9650172839506173,0.008888888888888889,0.30666666666666664
logistic_regression__c_10,logistic_regression,10.0,,1,0.06198830409356725,0.12444444444444444,0.9642271604938272,0.008888888888888889,0.30666666666666664
logistic_regression__c_100,logistic_regression,100.0,,1,0.06315789473684211,0.12444444444444444,0.9641876543209876,0.008888888888888889,0.3111111111111111
linear_svm__c_0.001,linear_svm,0.001,,1,0.10175438596491228,0.11555555555555555,0.9690864197530864,0.008888888888888889,0.27111111111111114
linear_svm__c_0.01,linear_svm,0.01,,1,0.07017543859649122,0.1111111111111111,0.969046913580247,0.008888888888888889,0.29333333333333333
linear_svm__c_0.1,linear_svm,0.1,,1,0.06783625730994151,0.11555555555555555,0.9673283950617284,0.008888888888888889,0.3111111111111111
linear_svm__c_1,linear_svm,1.0,,1,0.06549707602339182,0.12,0.9640691358024692,0.008888888888888889,0.31555555555555553
linear_svm__c_10,linear_svm,10.0,,1,0.06783625730994151,0.12,0.9645234567901235,0.008888888888888889,0.31555555555555553
linear_svm__c_100,linear_svm,100.0,,1,0.06666666666666667,0.12,0.964720987654321,0.008888888888888889,0.31555555555555553
rbf_svm__c_0.001__gamma_0.0001,rbf_svm,0.001,0.0001,1,0.12046783625730995,0.10666666666666667,0.9655308641975309,0.008888888888888889,0.3244444444444444
rbf_svm__c_0.001__gamma_0.001,rbf_svm,0.001,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_0.001__gamma_0.01,rbf_svm,0.001,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.001__gamma_0.1,rbf_svm,0.001,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.001__gamma_1,rbf_svm,0.001,1.0,1,0.0,0.18283582089552236,0.885530864197531,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.01__gamma_0.0001,rbf_svm,0.01,0.0001,1,0.12046783625730995,0.10666666666666667,0.9655308641975309,0.008888888888888889,0.3244444444444444
rbf_svm__c_0.01__gamma_0.001,rbf_svm,0.01,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_0.01__gamma_0.01,rbf_svm,0.01,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.01__gamma_0.1,rbf_svm,0.01,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.01__gamma_1,rbf_svm,0.01,1.0,1,0.0,0.18421052631578944,0.8844938271604939,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.1__gamma_0.0001,rbf_svm,0.1,0.0001,1,0.12046783625730995,0.10666666666666667,0.9655308641975309,0.008888888888888889,0.3244444444444444
rbf_svm__c_0.1__gamma_0.001,rbf_svm,0.1,0.001,1,0.11929824561403508,0.10222222222222223,0.965846913580247,0.008888888888888889,0.3022222222222222
rbf_svm__c_0.1__gamma_0.01,rbf_svm,0.1,0.01,1,0.08654970760233918,0.09333333333333334,0.9708839506172839,0.008888888888888889,0.28888888888888886
rbf_svm__c_0.1__gamma_0.1,rbf_svm,0.1,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
rbf_svm__c_0.1__gamma_1,rbf_svm,0.1,1.0,1,0.0,0.17241379310344826,0.8927012345679012,0.008888888888888889,0.29777777777777775
rbf_svm__c_1__gamma_0.0001,rbf_svm,1.0,0.0001,1,0.12046783625730995,0.09777777777777778,0.9665185185185184,0.008888888888888889,0.28
rbf_svm__c_1__gamma_0.001,rbf_svm,1.0,0.001,1,0.0935672514619883,0.1111111111111111,0.9698567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_1__gamma_0.01,rbf_svm,1.0,0.01,1,0.007017543859649123,0.08888888888888889,0.974953086419753,0.008888888888888889,0.24888888888888888
rbf_svm__c_1__gamma_0.1,rbf_svm,1.0,0.1,1,0.0,0.10222222222222223,0.9595061728395061,0.008888888888888889,0.28888888888888886
rbf_svm__c_1__gamma_1,rbf_svm,1.0,1.0,1,0.0,0.13214814814814818,0.9183604938271605,0.008888888888888889,0.29777777777777775
rbf_svm__c_10__gamma_0.0001,rbf_svm,10.0,0.0001,1,0.09824561403508772,0.1111111111111111,0.9687506172839506,0.0044444444444444444,0.2577777777777778
rbf_svm__c_10__gamma_0.001,rbf_svm,10.0,0.001,1,0.0456140350877193,0.10222222222222223,0.9717333333333333,0.008888888888888889,0.30666666666666664
rbf_svm__c_10__gamma_0.01,rbf_svm,10.0,0.01,1,0.0,0.08444444444444445,0.9779555555555555,0.008888888888888889,0.24
rbf_svm__c_10__gamma_0.1,rbf_svm,10.0,0.1,1,0.0,0.10222222222222223,0.960158024691358,0.008888888888888889,0.28888888888888886
rbf_svm__c_10__gamma_1,rbf_svm,10.0,1.0,1,0.0,0.11155363155363153,0.92960987654321,0.008888888888888889,0.29777777777777775
rbf_svm__c_100__gamma_0.0001,rbf_svm,100.0,0.0001,1,0.06549707602339182,0.1111111111111111,0.9696790123456791,0.008888888888888889,0.3111111111111111
rbf_svm__c_100__gamma_0.001,rbf_svm,100.0,0.001,1,0.0035087719298245615,0.09777777777777778,0.9733925925925926,0.008888888888888889,0.28888888888888886
rbf_svm__c_100__gamma_0.01,rbf_svm,100.0,0.01,1,0.0,0.08444444444444445,0.9779555555555555,0.008888888888888889,0.24
rbf_svm__c_100__gamma_0.1,rbf_svm,100.0,0.1,1,0.0,0.10222222222222223,0.960158024691358,0.008888888888888889,0.28888888888888886
rbf_svm__c_100__gamma_1,rbf_svm,100.0,1.0,1,0.0,0.11155363155363153,0.92960987654321,0.008888888888888889,0.29777777777777775
logistic_regression__c_0.001,logistic_regression,0.001,,2,0.09239766081871345,0.12444444444444444,0.9491358024691359,0.008888888888888889,0.31555555555555553
logistic_regression__c_0.01,logistic_regression,0.01,,2,0.06549707602339182,0.1111111111111111,0.9565037037037037,0.008888888888888889,0.3244444444444444
logistic_regression__c_0.1,logistic_regression,0.1,,2,0.05730994152046784,0.1111111111111111,0.9543703703703704,0.008888888888888889,0.4266666666666667
logistic_regression__c_1,logistic_regression,1.0,,2,0.05497076023391813,0.1111111111111111,0.9521777777777778,0.008888888888888889,0.4711111111111111
