config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
logistic_regression__c_1e-07,logistic_regression,1e-07,,1,0.12046783625730995,0.10666666666666667,0.9654518518518518,0.008888888888888889,0.3244444444444444
logistic_regression__c_1e-06,logistic_regression,1e-06,,1,0.12046783625730995,0.10666666666666667,0.9654716049382716,0.008888888888888889,0.3244444444444444
logistic_regression__c_1e-05,logistic_regression,1e-05,,1,0.12046783625730995,0.10666666666666667,0.9655901234567901,0.008888888888888889,0.3244444444444444
linear_svm__c_1e-07,linear_svm,1e-07,,1,0.12046783625730995,0.10666666666666667,0.9654518518518518,0.008888888888888889,0.3244444444444444
linear_svm__c_1e-06,linear_svm,1e-06,,1,0.12046783625730995,0.10666666666666667,0.9654518518518518,0.008888888888888889,0.3244444444444444
linear_svm__c_1e-05,linear_svm,1e-05,,1,0.12046783625730995,0.10666666666666667,0.9654518518518518,0.008888888888888889,0.3244444444444444
rbf_svm__c_1e-07__gamma_0.001,rbf_svm,1e-07,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_1e-07__gamma_0.01,rbf_svm,1e-07,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_1e-06__gamma_0.001,rbf_svm,1e-06,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_1e-06__gamma_0.01,rbf_svm,1e-06,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,1,0.12046783625730995,0.10666666666666667,0.9661037037037038,0.0044444444444444444,0.3244444444444444
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
logistic_regression__c_1e-07,logistic_regression,1e-07,,2,0.12631578947368421,0.16,0.9268938271604938,0.008888888888888889,0.27111111111111114
logistic_regression__c_1e-06,logistic_regression,1e-06,,2,0.12631578947368421,0.16,0.9269728395061728,0.008888888888888889,0.27111111111111114
logistic_regression__c_1e-05,logistic_regression,1e-05,,2,0.12631578947368421,0.16,0.9276246913580247,0.008888888888888889,0.27111111111111114
linear_svm__c_1e-07,linear_svm,1e-07,,2,0.12631578947368421,0.16,0.9268938271604938,0.008888888888888889,0.27111111111111114
linear_svm__c_1e-06,linear_svm,1e-06,,2,0.12631578947368421,0.16,0.9268938271604938,0.008888888888888889,0.27111111111111114
linear_svm__c_1e-05,linear_svm,1e-05,,2,0.12631578947368421,0.16,0.9268938271604938,0.008888888888888889,0.27111111111111114
rbf_svm__c_1e-07__gamma_0.001,rbf_svm,1e-07,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_1e-07__gamma_0.01,rbf_svm,1e-07,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_1e-06__gamma_0.001,rbf_svm,1e-06,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
