pair_id,left_index,right_index,target,raw_score,pca_score
0,318,388,0,-26.41459898571092,-25.90337108302473
1,130,132,1,-13.25566399828783,-12.661739224432285
2,388,389,1,-13.5627515504038,-12.361154254044285
3,349,356,0,-21.0409504198796,-20.637562353401393
4,45,47,1,-11.729734662529342,-10.473521265914668
5,252,255,1,-11.616018370504069,-10.083866686320828
6,5,58,0,-23.01502506036152,-22.579207404387514
7,211,243,0,-20.38003713340238,-19.623678568528042
8,210,231,0,-19.4861009466094,-18.641497471938003
9,301,306,1,-20.825710765528328,-20.35192531582912
10,334,337,1,-16.61514166231172,-15.781583512155734
11,145,149,1,-17.928207121834554,-17.135105094349242
12,3,228,0,-27.95742830091233,-27.488654655316562
13,23,213,0,-20.83486141034466,-20.281936854004556
14,230,356,0,-16.78052974798271,-16.020120592654724
15,243,245,1,-13.743482737061294,-12.5922169848314
16,242,249,1,-8.58022571688897,-5.931915006681074
17,341,344,1,-21.089915320998447,-20.469720108124076
18,135,236,0,-22.85541682384745,-22.366770195520314
19,138,139,1,-15.389134139732892,-15.096377624213224
20,48,236,0,-20.29917648792055,-19.597102518624954
21,54,56,1,-9.244208767621238,-6.552701091874731
22,303,306,1,-22.961819471699272,-22.548984385250535
23,282,288,1,-12.076186139188966,-10.828703670173802
24,228,345,0,-20.884628906863387,-20.180266883880908
25,20,241,0,-15.45960590029824,-14.655190434590327
26,124,259,0,-18.40257924982142,-17.664957146642784
27,74,75,1,-10.813879195507411,-9.628200397788975
28,76,340,0,-22.86050929462389,-22.329819977021195
29,321,324,1,-16.088994708093978,-15.359883241474868
30,310,330,0,-25.524831814489595,-25.27961160633023
31,283,286,1,-9.39020436274451,-7.230641213088721
32,5,257,0,-24.07202615938754,-23.52794024165477
33,356,389,0,-22.820820645999575,-22.29800685694617
34,114,146,0,-19.983031425025143,-19.354410378361855
35,322,328,1,-15.541841999377763,-14.645441903166985
36,73,319,0,-21.292654196722747,-20.695588815368975
37,133,139,1,-17.84163629517294,-17.387584369111373
38,125,126,1,-15.419404819131753,-14.78512143294535
39,52,233,0,-25.26459517986063,-24.705029319438243
40,323,328,1,-17.375460913133413,-16.50883175649343
41,224,227,1,-12.850211172254852,-11.759739785536102
42,229,335,0,-25.588281247473102,-25.02028938874298
43,302,303,1,-7.329914470964107,-3.697472121370671
44,260,265,1,-18.68942892563386,-18.025789819020435
45,112,354,0,-22.55180174735305,-22.16033458758154
46,260,350,0,-25.64900567183973,-25.238317571267057
47,24,29,1,-18.007972234551133,-17.297690019709762
48,73,78,1,-14.88466468000342,-14.057228903580476
49,8,289,0,-30.039355499878052,-29.641611798222417
50,238,305,0,-20.695697575858635,-20.06706786783856
51,336,339,1,-18.625244637962922,-18.09762454153287
52,138,269,0,-19.000757378928228,-18.7137123549015
53,61,120,0,-24.769315679122847,-24.212225479955876
54,210,211,1,-10.266281913328566,-8.309577019969439
55,256,259,1,-17.083582200505443,-16.163805792700714
56,63,69,1,-13.155077355379495,-12.442736528744431
57,241,246,1,-12.537632439129291,-11.074928331984646
58,226,243,0,-19.696001423812504,-18.99859579494024
59,117,132,0,-25.216501397795245,-24.76412723091363
60,321,326,1,-13.67682625394222,-12.672455424778883
61,132,135,1,-16.81126659870316,-16.309487481458714
62,122,124,1,-14.70596591418492,-13.709596516398381
63,225,227,1,-16.397026665331293,-15.79274409741045
64,110,384,0,-27.87072623448892,-27.330702857927403
65,149,350,0,-21.851285369208078,-21.41449769350185
66,215,238,0,-20.418564265320285,-19.73254894581287
67,45,235,0,-22.133281402742323,-21.509171201704643
68,217,387,0,-15.203185079099457,-14.228180905269909
69,3,6,1,-17.50870735533591,-16.636999370746587
70,260,383,0,-26.516795932469662,-25.951217032171293
71,63,67,1,-16.04950366427454,-15.454342828502712
72,56,337,0,-30.325357920116833,-29.86227530032946
73,124,351,0,-24.89980721275278,-24.504990965510416
74,231,232,1,-13.721238054528325,-12.533266591881208
75,111,383,0,-27.181522739157117,-26.65823647037394
76,240,243,1,-15.769907391337446,-14.6612278870018
77,143,352,0,-19.473877805075755,-18.726522753919408
78,302,356,0,-22.110692812565482,-21.642034283318925
79,55,132,0,-32.536039094266116,-32.08013672095655
80,236,238,1,-14.640842447698658,-13.4761354657787
81,231,233,1,-14.234458588466488,-13.029799090069552
82,231,239,1,-12.74931511913492,-11.337961631785019
83,135,347,0,-22.39877577458828,-21.952602570345984
84,135,314,0,-22.936969957768646,-22.662517495681165
85,215,287,0,-17.91406389305181,-17.42780133704712
86,224,226,1,-13.890922190270105,-12.846837972177077
87,67,68,1,-13.029266693524857,-12.284424763906426
88,7,311,0,-24.687357808435532,-24.24577180281334
89,355,357,1,-17.97068890444903,-17.47453435823355
90,45,285,0,-21.19555956696409,-20.466615664501845
91,24,250,0,-16.870162592208143,-16.17520080925678
92,220,225,1,-13.12391572183164,-12.037683215358616
93,54,57,1,-11.926626315083265,-10.243016256500468
94,254,257,1,-12.030573343943674,-10.538623645825231
95,71,339,0,-25.96803189711195,-25.487985416848126
96,25,59,0,-21.296119251538954,-20.593110561313054
97,122,146,0,-18.815842434727003,-18.065060711843262
98,79,319,0,-20.705475330065465,-20.05723062859983
99,49,263,0,-22.449321435051694,-21.7013591883616
100,255,334,0,-25.93020772033878,-25.354215286479647
101,258,283,0,-20.72962701120019,-19.915430647620123
102,143,257,0,-20.155840774390292,-19.4713771050758
103,64,68,1,-13.316423757035912,-12.296572913891172
104,245,249,1,-9.321743708018099,-7.029320582318081
105,233,315,0,-22.469826479418902,-21.972131230109287
106,56,127,0,-23.623417934748993,-23.02356741263467
107,233,238,1,-10.99379890565325,-9.314128574486368
108,65,70,0,-20.712563107482094,-20.136097788960846
109,312,355,0,-22.4575613939379,-22.09805471650921
110,3,8,1,-16.83048578439502,-16.154460629314926
111,71,230,0,-20.57107667589814,-19.87377112347828
112,232,235,1,-14.145946073437951,-13.185118981356263
113,215,217,1,-12.271240825477744,-11.1032327585864
114,64,331,0,-25.991728527347856,-25.664100058375862
115,143,267,0,-18.726953305254018,-17.99321552792048
116,124,125,1,-13.190522192756385,-12.316443013096348
117,120,127,1,-12.875343388172848,-11.726050406790765
118,133,211,0,-20.827921116848643,-19.999004541762552
119,122,123,1,-8.351784262420635,-5.57867689343581
120,20,26,1,-13.510897099269991,-12.50806584171481
121,260,328,0,-26.62134254465034,-26.02770173374371
122,71,259,0,-25.80747840487405,-25.309916380181075
123,380,389,1,-15.741813431759548,-14.705087711983884
124,120,126,1,-13.371344792321947,-12.314542471180289
125,54,225,0,-18.692592063675125,-17.9341976816274
126,255,259,1,-13.971428400198786,-12.836611203852737
127,28,59,0,-22.945416199839283,-22.228020359722308
128,1,2,1,-19.400867389427017,-18.778842602551507
129,380,381,1,-10.6859402050455,-8.622960662407358
130,72,77,1,-9.218763208973352,-7.6953454708049085
131,134,386,0,-25.63207847413029,-25.228291046834386
132,300,303,1,-23.101697573961133,-22.625931215266803
133,42,245,0,-13.981627401758455,-12.943159854269185
134,385,389,1,-11.559202819402492,-10.006219722425472
135,332,336,1,-16.62554335862173,-16.209117059808563
136,23,116,0,-16.71836460264842,-15.819418845702145
137,213,219,1,-13.592520929912695,-12.806751792094364
138,243,247,1,-12.296211816234377,-10.709313709417938
139,217,261,0,-24.434360308607314,-23.87863239813368
140,306,308,1,-10.64986238540131,-8.74819532261303
141,142,144,1,-16.942932989090192,-15.886308533710277
142,330,333,1,-13.354813593654711,-12.678389566772255
143,240,241,1,-12.586500077984756,-11.274904486911575
144,241,244,1,-17.211586475814432,-16.348425707865424
145,57,358,0,-25.34403459403928,-24.91036560975829
146,0,9,1,-17.82437317746257,-17.128075803230182
147,136,300,0,-24.565628065032776,-24.053572572662233
148,284,359,0,-21.477276309709215,-21.06778729203934
149,381,385,1,-16.41500239443833,-15.60982352184784
150,41,47,1,-13.989192231686612,-12.787192528959304
151,40,48,1,-14.275064671380889,-13.273795732055422
152,263,388,0,-27.707138428676185,-27.196359795718724
153,235,264,0,-22.706586695659748,-22.10694435390684
154,380,387,1,-13.594369685206381,-12.258132719129884
155,311,319,1,-19.19208047630053,-18.53775494488402
156,230,239,1,-12.520226161543041,-11.021478704612484
157,283,289,1,-12.224385956059267,-10.568534112689965
158,216,238,0,-19.415999369938973,-18.665022835075
159,25,27,1,-10.89999021285708,-9.143763066447862
160,123,265,0,-25.681500840843448,-25.243879813927922
161,241,243,1,-15.866058447457519,-15.007610672546553
162,335,337,1,-8.61586415884803,-5.0218534420980125
163,304,306,1,-23.232847458177186,-22.87605721784088
164,225,380,0,-21.957139356700615,-21.374153819613667
165,254,269,0,-22.814913444801658,-22.34280962398189
166,223,224,1,-13.833461477171664,-12.988056770714586
167,146,226,0,-17.558646925163348,-16.74787450219344
168,250,389,0,-24.83147875526237,-24.28055282717209
169,77,114,0,-23.03226211734591,-22.53930046375078
170,20,380,0,-22.09989299950515,-21.358743620028378
171,230,323,0,-20.841009664930105,-20.0762265769207
172,23,27,1,-13.475278876022388,-12.315823511704298
173,74,78,1,-13.630834135488007,-12.68650811896329
174,301,315,0,-22.560163648789658,-22.274221824065208
175,234,236,1,-13.538002423856778,-12.378397968442128
176,40,237,0,-22.87810408124614,-22.333033727432596
177,22,77,0,-22.99183468224721,-22.451929488458973
178,225,229,1,-12.554229582158673,-11.483140816847424
179,284,325,0,-16.228103911966283,-15.379424347331746
180,213,337,0,-16.763673427990387,-16.010496711945922
