left_identity,right_identity,centroid_distance,similarity_rank,is_hard_identity_pair
28,37,5.389362629043878,1,True
4,9,9.396157678214998,2,True
9,38,9.660197776723672,3,True
4,17,9.955611502780812,4,True
9,21,10.114606166777707,5,True
20,21,10.240930422801423,6,True
9,17,10.61253630402603,7,True
21,38,10.744068300207076,8,False
20,38,11.201253914806205,9,False
9,20,11.670696581558389,10,False
4,20,11.846857166866132,11,False
17,20,11.927977341036174,12,False
4,38,12.096896124111646,13,False
17,21,12.2162767047932,14,False
4,21,12.965658810723305,15,False
17,38,13.125978271008977,16,False
4,28,13.812002417596965,17,False
4,37,15.510396773528914,18,False
17,28,16.49214840492215,19,False
21,28,16.677472444798696,20,False
9,28,16.866368520890965,21,False
21,37,16.94838920255139,22,False
9,37,17.92058256375363,23,False
17,37,18.102697464296313,24,False
28,38,18.148614197968158,25,False
20,28,18.5861016164367,26,False
37,38,19.355589202871016,27,False
20,37,19.38411183775605,28,False
