group,pair_id,left_index,right_index,left_identity,right_identity,pca_distance_score,logistic_regression_score,linear_svm_score,rbf_svm_score,pca_distance_accepted,logistic_regression_accepted,linear_svm_accepted,rbf_svm_accepted
ordinary,0,80,194,9,20,-15.344791963021665,-0.007130373065516831,-0.036756480144302085,-0.0068945587460134536,0,0,0,0
ordinary,1,279,370,28,38,-21.520968891009996,-0.0046364166934365,-0.03152121934074083,-0.005899367435854741,0,0,0,0
ordinary,2,35,197,4,20,-18.666506143294022,-0.0023897397964830285,-0.02708772511349274,-0.005009616895413623,0,0,0,0
ordinary,3,37,368,4,37,-16.975943778840946,-0.0006792727757686499,-0.023799284962773025,-0.0046688353388227195,0,0,0,0
ordinary,4,195,361,20,37,-21.623811750183705,-0.0062417165051778245,-0.0354875208715243,-0.006867024573408405,0,0,0,0
ordinary,5,363,376,37,38,-22.192069617165203,-0.01446876830601371,-0.051502155806036336,-0.009379284908347763,0,0,0,0
ordinary,6,199,279,20,28,-23.64793768848439,-0.011200381312085467,-0.04475258862725616,-0.008168693684008898,0,0,0,0
ordinary,7,163,197,17,20,-14.581546799880071,0.0032367021027943734,-0.015673176108782622,-0.003077110781223689,0,0,0,0
ordinary,8,163,360,17,37,-20.617501083867726,-0.03136967074232563,-0.08671053080460465,-0.015594697214330265,0,0,0,0
ordinary,9,167,374,17,38,-15.277179831941313,0.006714775691536108,-0.008046743606059881,-0.0014698943333258038,0,0,0,0
ordinary,10,30,201,4,21,-14.326530743700093,0.009443710193519016,-0.0027294676602692657,-0.0007025731951796257,0,0,0,0
ordinary,11,203,362,21,37,-18.709378053394754,-0.005723448338867002,-0.03361589121786481,-0.006181153536077944,0,0,0,0
ordinary,12,89,369,9,37,-19.26225981680664,-0.01152802675892988,-0.04585933007277518,-0.008432335788204393,0,0,0,0
ordinary,13,38,204,4,21,-13.244974127035084,0.00783866347583575,-0.006173022046715878,-0.0011689406659580476,0,0,0,0
ordinary,14,89,190,9,20,-15.85761295041906,0.0012882427651102495,-0.019664767785050382,-0.004057672187930024,0,0,0,0
ordinary,15,164,209,17,21,-16.48195046241621,0.0016948913185827264,-0.01848622313721337,-0.0034701992152076887,0,0,0,0
ordinary,16,161,376,17,38,-17.309739223807654,-0.012010570071561377,-0.04660553672441396,-0.008433833595098358,0,0,0,0
ordinary,17,167,195,17,20,-16.49319493474833,-0.0053529525686739415,-0.03358058931604626,-0.006605438119757071,0,0,0,0
ordinary,18,169,204,17,21,-14.704882398399311,0.004432692278416356,-0.01290852824079891,-0.0024944035438248455,0,0,0,0
ordinary,19,35,199,4,20,-20.442626411117303,-0.017835995408922094,-0.05863959393467459,-0.01067129733021208,0,0,0,0
ordinary,20,38,365,4,37,-18.792107090810216,-0.0005678849685667724,-0.02367530518734482,-0.004783902693785099,0,0,0,0
ordinary,21,39,371,4,38,-16.186942011728753,-0.007642787427017989,-0.037782866301879894,-0.006938145750509695,0,0,0,0
ordinary,22,364,377,37,38,-22.909097068027467,-0.005858973035813412,-0.03419812702765098,-0.006498135089328976,0,0,0,0
ordinary,23,166,278,17,28,-18.17448932541543,-0.0004822128254285119,-0.02325497354154975,-0.00450188263541587,0,0,0,0
ordinary,24,203,373,21,38,-10.865183305883845,0.025716427255316924,0.03064687271904378,0.005462741873483539,0,0,0,0
ordinary,25,206,376,21,38,-12.5734292167048,0.01995069471038022,0.01882022933263578,0.00306201442917425,0,0,0,0
ordinary,26,202,375,21,38,-13.857232510178683,0.00867961131593322,-0.0039380165148634565,-0.0005960768206008799,0,0,0,0
ordinary,27,87,364,9,37,-21.377157749465933,-0.014328737159095817,-0.051636806441440475,-0.009429515599228442,0,0,0,0
ordinary,28,163,365,17,37,-18.978957719636313,0.0058320042881512815,-0.009979818924748122,-0.001935395893813219,0,0,0,0
ordinary,29,36,371,4,38,-14.66964340165617,-0.005901607682223729,-0.034288227180607284,-0.006298556798974186,0,0,0,0
ordinary,30,169,195,17,20,-16.34653216237092,-0.013338985318764424,-0.049880815036563775,-0.009292883910891158,0,0,0,0
ordinary,31,160,369,17,37,-16.559605484311447,-0.006206339683116732,-0.03510669414185993,-0.006581496270264679,0,0,0,0
ordinary,32,84,362,9,37,-20.783865495925653,-0.018431002524778597,-0.06010599991203554,-0.01100208642557315,0,0,0,0
ordinary,33,35,204,4,21,-17.150043755236652,0.00016714942652054665,-0.021524835964627044,-0.0039348638292917345,0,0,0,0
ordinary,34,165,367,17,37,-21.912598874495792,-0.007509489428828089,-0.03737974861501842,-0.0070161618034865975,0,0,0,0
ordinary,35,86,272,9,28,-19.473324673591485,-0.008184929671309519,-0.03906949940773467,-0.00732201724590222,0,0,0,0
ordinary,36,169,196,17,20,-13.879583563162894,-0.005981694306368549,-0.034556527364210984,-0.006337823031175526,0,0,0,0
