k,fold,train_identity_count,validation_identity_count,validation_pair_count,retained_variance,eer,eer_threshold,roc_auc,target_fmr,working_threshold,working_fmr,working_fnmr
10,1,19,5,450,0.6556456317289329,0.035555555555555556,-9.92780072595295,0.9952790123456791,0.01,-8.816262326136284,0.008888888888888889,0.12444444444444444
20,1,19,5,450,0.757918852728045,0.04888888888888889,-11.558522774111161,0.9938172839506173,0.01,-10.684720954141294,0.008888888888888889,0.09333333333333334
40,1,19,5,450,0.8472924798490507,0.05333333333333334,-12.447744773236641,0.9932641975308641,0.01,-11.650048287017684,0.008888888888888889,0.09333333333333334
80,1,19,5,450,0.9243144615152024,0.04,-13.302334573342149,0.9936592592592592,0.01,-12.494405615154205,0.008888888888888889,0.09777777777777778
120,1,19,5,450,0.9652047260351136,0.04888888888888889,-13.606536555085022,0.993441975308642,0.01,-12.9354897283213,0.008888888888888889,0.10666666666666667
160,1,19,5,450,0.9893756429174322,0.04888888888888889,-13.847183549657492,0.9934419753086421,0.01,-13.11287879309239,0.008888888888888889,0.1111111111111111
180,1,19,5,450,0.9974610183157031,0.04888888888888889,-13.942157651290426,0.9933432098765432,0.01,-13.261792274135486,0.008888888888888889,0.10222222222222223
10,2,19,5,450,0.6493453679174538,0.1111111111111111,-11.418718555539993,0.961283950617284,0.01,-8.001544257369117,0.008888888888888889,0.39555555555555555
20,2,19,5,450,0.7566152344363215,0.11555555555555555,-13.256143826194233,0.9614222222222223,0.01,-9.693309726196505,0.0044444444444444444,0.3422222222222222
40,2,19,5,450,0.8455474342688615,0.12444444444444444,-14.140513944049562,0.9589530864197531,0.01,-10.779149948156695,0.008888888888888889,0.3333333333333333
80,2,19,5,450,0.9236741607513806,0.1288888888888889,-15.02096824442,0.9578271604938272,0.01,-11.823379772905907,0.008888888888888889,0.3111111111111111
120,2,19,5,450,0.9653201799694839,0.12444444444444444,-15.45061452902177,0.9576296296296296,0.01,-12.359537123039672,0.008888888888888889,0.3022222222222222
160,2,19,5,450,0.9896887965378129,0.12444444444444444,-15.724021008762918,0.9572938271604938,0.01,-12.72620980330415,0.008888888888888889,0.29333333333333333
180,2,19,5,450,0.997701263783435,0.12444444444444444,-15.823010123489137,0.956958024691358,0.01,-12.759444841757894,0.008888888888888889,0.29333333333333333
10,3,19,5,450,0.6608391095512524,0.1511111111111111,-11.283999631201384,0.9302123456790122,0.01,-8.444108107477778,0.008888888888888889,0.38222222222222224
20,3,19,5,450,0.763317563065389,0.11555555555555555,-12.935496421572042,0.9520592592592593,0.01,-10.05881872416217,0.0044444444444444444,0.3111111111111111
40,3,19,5,450,0.8500416795945432,0.10222222222222223,-14.21440713930995,0.9609876543209876,0.01,-12.120240828710603,0.008888888888888889,0.2222222222222222
80,3,19,5,450,0.926157557828735,0.10222222222222223,-15.169388803395217,0.9627061728395062,0.01,-13.108652413990555,0.008888888888888889,0.2222222222222222
120,3,19,5,450,0.9657060401998293,0.10222222222222223,-15.518960546388332,0.963595061728395,0.01,-13.284516905741762,0.008888888888888889,0.23555555555555555
160,3,19,5,450,0.9895658564096376,0.10222222222222223,-15.84298626488588,0.9638123456790124,0.01,-13.836820546645605,0.008888888888888889,0.22666666666666666
180,3,19,5,450,0.9976054312408392,0.10222222222222223,-15.881534277911449,0.9641283950617285,0.01,-13.957173170270575,0.008888888888888889,0.2222222222222222
10,4,19,5,450,0.6383619395340165,0.16,-8.653047687906955,0.9346370370370369,0.01,-4.758288574188266,0.008888888888888889,0.6533333333333333
20,4,19,5,450,0.7464894273904906,0.1511111111111111,-9.919754846775765,0.9460345679012346,0.01,-7.297112169113179,0.008888888888888889,0.49777777777777776
40,4,19,5,450,0.8385204657352284,0.13777777777777778,-10.814758819511223,0.9463506172839506,0.01,-7.767407261651583,0.0044444444444444444,0.5866666666666667
80,4,19,5,450,0.920300230515256,0.1288888888888889,-11.53252773424509,0.9524740740740741,0.01,-9.012427964268149,0.008888888888888889,0.49333333333333335
120,4,19,5,450,0.9632534224399348,0.1288888888888889,-11.927605220126214,0.9531851851851851,0.01,-9.329592166041735,0.008888888888888889,0.5066666666666667
160,4,19,5,450,0.9891891104849782,0.1288888888888889,-12.116413854141625,0.953520987654321,0.01,-9.509600937040315,0.0044444444444444444,0.5333333333333333
180,4,19,5,450,0.9976546870766425,0.1288888888888889,-12.236001546604879,0.9535407407407408,0.01,-9.613984355339438,0.0044444444444444444,0.5333333333333333
10,5,20,4,360,0.6632684341909216,0.15,-10.00828059730705,0.942037037037037,0.01,-7.363104874748493,0.005555555555555556,0.37222222222222223
20,5,20,4,360,0.7607970677652669,0.1,-11.489800842112524,0.967037037037037,0.01,-9.168489107666794,0.005555555555555556,0.2833333333333333
40,5,20,4,360,0.8477657585087768,0.09444444444444444,-12.719231110219129,0.9733641975308642,0.01,-10.002623929855046,0.0,0.2777777777777778
80,5,20,4,360,0.923332425847391,0.07777777777777778,-13.52749150501585,0.9799382716049383,0.01,-10.981502325915887,0.005555555555555556,0.2722222222222222
120,5,20,4,360,0.9631863949555435,0.06666666666666667,-13.928358798709601,0.9813271604938272,0.01,-11.431934157364969,0.005555555555555556,0.22777777777777777
160,5,20,4,360,0.9868780603172261,0.06666666666666667,-14.141733369330312,0.9816666666666666,0.01,-11.654483230685111,0.005555555555555556,0.23333333333333334
180,5,20,4,360,0.9948930781759465,0.06111111111111111,-14.219666236620979,0.9823456790123457,0.01,-11.702066958515562,0.005555555555555556,0.2388888888888889
