k,fold,train_identity_count,validation_identity_count,validation_pair_count,retained_variance,eer,eer_threshold,roc_auc,target_fmr,working_threshold,working_fmr,working_fnmr
80,1,19,5,450,0.9243144615152024,0.04,-13.302334573342149,0.9936592592592592,0.01,-12.494405615154205,0.008888888888888889,0.09777777777777778
100,1,19,5,450,0.9475011110156529,0.044444444444444446,-13.448655622897213,0.9935209876543211,0.01,-12.74582972616125,0.008888888888888889,0.09777777777777778
120,1,19,5,450,0.9652047260351136,0.04888888888888889,-13.606536555085022,0.993441975308642,0.01,-12.9354897283213,0.008888888888888889,0.10666666666666667
140,1,19,5,450,0.9787814178238979,0.04888888888888889,-13.729710240594127,0.9934814814814815,0.01,-13.09831727773932,0.008888888888888889,0.10222222222222223
160,1,19,5,450,0.9893756429174322,0.04888888888888889,-13.847183549657492,0.9934419753086421,0.01,-13.11287879309239,0.008888888888888889,0.1111111111111111
170,1,19,5,450,0.9937195555585666,0.04888888888888889,-13.891705826361493,0.9933827160493827,0.01,-13.155494010579861,0.008888888888888889,0.1111111111111111
180,1,19,5,450,0.9974610183157031,0.04888888888888889,-13.942157651290426,0.9933432098765432,0.01,-13.261792274135486,0.008888888888888889,0.10222222222222223
185,1,19,5,450,0.999038808010793,0.04888888888888889,-13.960597635718447,0.9933432098765432,0.01,-13.287334639032302,0.008888888888888889,0.10222222222222223
80,2,19,5,450,0.9236741607513806,0.1288888888888889,-15.02096824442,0.9578271604938272,0.01,-11.823379772905907,0.008888888888888889,0.3111111111111111
100,2,19,5,450,0.9472214512729547,0.12444444444444444,-15.221385224138219,0.9578864197530864,0.01,-12.00613934529415,0.008888888888888889,0.31555555555555553
120,2,19,5,450,0.9653201799694839,0.12444444444444444,-15.45061452902177,0.9576296296296296,0.01,-12.359537123039672,0.008888888888888889,0.3022222222222222
140,2,19,5,450,0.9791565983639036,0.12444444444444444,-15.627634787247255,0.9571753086419753,0.01,-12.495622593978144,0.008888888888888889,0.29777777777777775
160,2,19,5,450,0.9896887965378129,0.12444444444444444,-15.724021008762918,0.9572938271604938,0.01,-12.72620980330415,0.008888888888888889,0.29333333333333333
170,2,19,5,450,0.9940049892680247,0.12444444444444444,-15.748534122259953,0.9569975308641976,0.01,-12.738144890735862,0.008888888888888889,0.29333333333333333
180,2,19,5,450,0.997701263783435,0.12444444444444444,-15.823010123489137,0.956958024691358,0.01,-12.759444841757894,0.008888888888888889,0.29333333333333333
185,2,19,5,450,0.9991505315269436,0.12444444444444444,-15.833976936163625,0.9570765432098765,0.01,-12.773261409362588,0.008888888888888889,0.29333333333333333
80,3,19,5,450,0.926157557828735,0.10222222222222223,-15.169388803395217,0.9627061728395062,0.01,-13.108652413990555,0.008888888888888889,0.2222222222222222
100,3,19,5,450,0.9484448666871665,0.10222222222222223,-15.350550547540719,0.9638913580246914,0.01,-13.283604483054908,0.008888888888888889,0.22666666666666666
120,3,19,5,450,0.9657060401998293,0.10222222222222223,-15.518960546388332,0.963595061728395,0.01,-13.284516905741762,0.008888888888888889,0.23555555555555555
140,3,19,5,450,0.9791046118872913,0.10222222222222223,-15.666536890284133,0.9639901234567902,0.01,-13.673460531356099,0.008888888888888889,0.2311111111111111
160,3,19,5,450,0.9895658564096376,0.10222222222222223,-15.84298626488588,0.9638123456790124,0.01,-13.836820546645605,0.008888888888888889,0.22666666666666666
170,3,19,5,450,0.9938979674903634,0.10222222222222223,-15.872636010877356,0.964088888888889,0.01,-13.870451736808302,0.008888888888888889,0.22666666666666666
180,3,19,5,450,0.9976054312408392,0.10222222222222223,-15.881534277911449,0.9641283950617285,0.01,-13.957173170270575,0.008888888888888889,0.2222222222222222
185,3,19,5,450,0.9991223447013279,0.10222222222222223,-15.89698457162185,0.9641876543209877,0.01,-13.96009881373982,0.008888888888888889,0.2222222222222222
80,4,19,5,450,0.920300230515256,0.1288888888888889,-11.53252773424509,0.9524740740740741,0.01,-9.012427964268149,0.008888888888888889,0.49333333333333335
100,4,19,5,450,0.944453746484833,0.1288888888888889,-11.738375389192077,0.9526518518518519,0.01,-9.118333435145722,0.008888888888888889,0.5244444444444445
120,4,19,5,450,0.9632534224399348,0.1288888888888889,-11.927605220126214,0.9531851851851851,0.01,-9.329592166041735,0.008888888888888889,0.5066666666666667
140,4,19,5,450,0.977950188532934,0.1288888888888889,-12.039068920613076,0.9536395061728395,0.01,-9.430148544696918,0.008888888888888889,0.5111111111111111
160,4,19,5,450,0.9891891104849782,0.1288888888888889,-12.116413854141625,0.953520987654321,0.01,-9.509600937040315,0.0044444444444444444,0.5333333333333333
170,4,19,5,450,0.9937610277924367,0.1288888888888889,-12.17229967497465,0.9535012345679013,0.01,-9.547745399776723,0.0044444444444444444,0.5333333333333333
180,4,19,5,450,0.9976546870766425,0.1288888888888889,-12.236001546604879,0.9535407407407408,0.01,-9.613984355339438,0.0044444444444444444,0.5333333333333333
185,4,19,5,450,0.999154714464284,0.1288888888888889,-12.255052219091878,0.9534814814814815,0.01,-9.650246372199021,0.0044444444444444444,0.5333333333333333
80,5,20,4,360,0.923332425847391,0.07777777777777778,-13.52749150501585,0.9799382716049383,0.01,-10.981502325915887,0.005555555555555556,0.2722222222222222
100,5,20,4,360,0.9459101115409275,0.07222222222222222,-13.771517339409407,0.9813888888888889,0.01,-11.221697430192762,0.0,0.25555555555555554
120,5,20,4,360,0.9631863949555435,0.06666666666666667,-13.928358798709601,0.9813271604938272,0.01,-11.431934157364969,0.005555555555555556,0.22777777777777777
140,5,20,4,360,0.9764997451518689,0.06666666666666667,-14.027863478299787,0.981574074074074,0.01,-11.56876427721275,0.005555555555555556,0.22777777777777777
160,5,20,4,360,0.9868780603172261,0.06666666666666667,-14.141733369330312,0.9816666666666666,0.01,-11.654483230685111,0.005555555555555556,0.23333333333333334
170,5,20,4,360,0.9911927614841568,0.06111111111111111,-14.20324089867892,0.982037037037037,0.01,-11.664536286687616,0.005555555555555556,0.2388888888888889
180,5,20,4,360,0.9948930781759465,0.06111111111111111,-14.219666236620979,0.9823456790123457,0.01,-11.702066958515562,0.005555555555555556,0.2388888888888889
185,5,20,4,360,0.9965384528027488,0.06111111111111111,-14.223970192600444,0.9823765432098766,0.01,-11.688421744429585,0.0,0.24444444444444444
