pair_id,left_index,right_index,left_path,right_path,left_identity,right_identity,target
0,318,388,s32/9.pgm,s39/9.pgm,32,39,0
1,130,132,s14/1.pgm,s14/3.pgm,14,14,1
2,388,389,s39/9.pgm,s39/10.pgm,39,39,1
3,349,356,s35/10.pgm,s36/7.pgm,35,36,0
4,45,47,s5/6.pgm,s5/8.pgm,5,5,1
5,252,255,s26/3.pgm,s26/6.pgm,26,26,1
6,5,58,s1/6.pgm,s6/9.pgm,1,6,0
7,211,243,s22/2.pgm,s25/4.pgm,22,25,0
8,210,231,s22/1.pgm,s24/2.pgm,22,24,0
9,301,306,s31/2.pgm,s31/7.pgm,31,31,1
10,334,337,s34/5.pgm,s34/8.pgm,34,34,1
11,145,149,s15/6.pgm,s15/10.pgm,15,15,1
12,3,228,s1/4.pgm,s23/9.pgm,1,23,0
13,23,213,s3/4.pgm,s22/4.pgm,3,22,0
14,230,356,s24/1.pgm,s36/7.pgm,24,36,0
15,243,245,s25/4.pgm,s25/6.pgm,25,25,1
16,242,249,s25/3.pgm,s25/10.pgm,25,25,1
17,341,344,s35/2.pgm,s35/5.pgm,35,35,1
18,135,236,s14/6.pgm,s24/7.pgm,14,24,0
19,138,139,s14/9.pgm,s14/10.pgm,14,14,1
20,48,236,s5/9.pgm,s24/7.pgm,5,24,0
21,54,56,s6/5.pgm,s6/7.pgm,6,6,1
22,303,306,s31/4.pgm,s31/7.pgm,31,31,1
23,282,288,s29/3.pgm,s29/9.pgm,29,29,1
24,228,345,s23/9.pgm,s35/6.pgm,23,35,0
25,20,241,s3/1.pgm,s25/2.pgm,3,25,0
26,124,259,s13/5.pgm,s26/10.pgm,13,26,0
27,74,75,s8/5.pgm,s8/6.pgm,8,8,1
28,76,340,s8/7.pgm,s35/1.pgm,8,35,0
29,321,324,s33/2.pgm,s33/5.pgm,33,33,1
30,310,330,s32/1.pgm,s34/1.pgm,32,34,0
31,283,286,s29/4.pgm,s29/7.pgm,29,29,1
32,5,257,s1/6.pgm,s26/8.pgm,1,26,0
33,356,389,s36/7.pgm,s39/10.pgm,36,39,0
34,114,146,s12/5.pgm,s15/7.pgm,12,15,0
35,322,328,s33/3.pgm,s33/9.pgm,33,33,1
36,73,319,s8/4.pgm,s32/10.pgm,8,32,0
37,133,139,s14/4.pgm,s14/10.pgm,14,14,1
38,125,126,s13/6.pgm,s13/7.pgm,13,13,1
39,52,233,s6/3.pgm,s24/4.pgm,6,24,0
40,323,328,s33/4.pgm,s33/9.pgm,33,33,1
41,224,227,s23/5.pgm,s23/8.pgm,23,23,1
42,229,335,s23/10.pgm,s34/6.pgm,23,34,0
43,302,303,s31/3.pgm,s31/4.pgm,31,31,1
44,260,265,s27/1.pgm,s27/6.pgm,27,27,1
